date,expiration,option_type,S,strike,bid,ask,market_price,volume,open_interest,days_to_expiration,T,moneyness,moneyness_category,sigma,r,market_price_over_K
2023-08-25,2023-08-28,CALL,440.79,402.0,38.75,38.96,38.855,1,2,3,0.0082191780821917,1.0964925373134329,ITM,17.2,0.0556,0.09665422885572139
2023-08-25,2023-08-29,CALL,440.79,441.0,2.0,2.01,2.005,11194,2120,4,0.010958904109589,0.9995238095238096,ATM,17.2,0.0556,0.0045464852607709745
2023-08-25,2023-08-29,CALL,440.79,440.0,2.56,2.58,2.5700000000000003,26162,3328,4,0.010958904109589,1.0017954545454544,ATM,17.2,0.0556,0.005840909090909092
2023-08-25,2023-08-29,CALL,440.79,439.0,3.19,3.22,3.205,19647,2816,4,0.010958904109589,1.0040774487471524,ATM,17.2,0.0556,0.007300683371298406
2023-08-25,2023-08-29,CALL,440.79,438.0,3.89,3.94,3.915,9332,1763,4,0.010958904109589,1.0063698630136986,ATM,17.2,0.0556,0.008938356164383562
2023-08-25,2023-08-29,CALL,440.79,437.0,4.64,4.72,4.68,6308,2353,4,0.010958904109589,1.0086727688787185,ATM,17.2,0.0556,0.010709382151029748
2023-08-25,2023-08-29,CALL,440.79,436.0,5.41,5.57,5.49,3016,994,4,0.010958904109589,1.01098623853211,ATM,17.2,0.0556,0.012591743119266056
2023-08-25,2023-08-29,CALL,440.79,435.0,6.27,6.43,6.35,7554,519,4,0.010958904109589,1.0133103448275862,ATM,17.2,0.0556,0.014597701149425286
2023-08-25,2023-08-29,CALL,440.79,434.0,7.16,7.33,7.245,648,222,4,0.010958904109589,1.0156451612903226,ATM,17.2,0.0556,0.016693548387096774
2023-08-25,2023-08-29,CALL,440.79,433.0,8.07,8.26,8.165,183,97,4,0.010958904109589,1.0179907621247113,ATM,17.2,0.0556,0.0188568129330254
2023-08-25,2023-08-29,CALL,440.79,432.0,9.01,9.2,9.105,203,86,4,0.010958904109589,1.020347222222222,ATM,17.2,0.0556,0.02107638888888889
2023-08-25,2023-08-28,CALL,440.79,434.0,6.89,7.08,6.984999999999999,1434,902,3,0.0082191780821917,1.0156451612903226,ATM,17.2,0.0556,0.01609447004608295
2023-08-25,2023-08-28,CALL,440.79,433.0,7.85,8.05,7.95,617,270,3,0.0082191780821917,1.0179907621247113,ATM,17.2,0.0556,0.018360277136258662
