date,expiration,option_type,S,strike,bid,ask,market_price,volume,open_interest,days_to_expiration,T,moneyness,moneyness_category,sigma,r,market_price_over_K
2023-08-25,2023-09-12,PUT,4413.905,4500.0,91.6,93.2,92.4,2,4,18,0.0493150684931506,0.9808677777777776,ATM,17.2,0.0556,0.020533333333333334
2023-08-25,2023-08-31,PUT,440.79,429.0,0.26,0.27,0.265,1722,1666,6,0.0164383561643835,1.0274825174825173,ATM,17.2,0.0556,0.0006177156177156177
2023-08-25,2023-08-30,PUT,440.79,446.0,5.58,5.73,5.655,189,746,5,0.0136986301369863,0.988318385650224,ATM,17.2,0.0556,0.012679372197309418
2023-08-25,2023-08-30,PUT,440.79,445.0,4.85,4.93,4.89,144,1619,5,0.0136986301369863,0.9905393258426964,ATM,17.2,0.0556,0.01098876404494382
2023-08-25,2023-08-30,PUT,440.79,444.0,4.16,4.21,4.1850000000000005,102,1051,5,0.0136986301369863,0.9927702702702702,ATM,17.2,0.0556,0.009425675675675677
2023-08-25,2023-08-30,PUT,440.79,443.0,3.53,3.56,3.545,615,1561,5,0.0136986301369863,0.9950112866817156,ATM,17.2,0.0556,0.008002257336343115
2023-08-25,2023-08-30,PUT,440.79,442.0,2.97,2.98,2.975,2237,1052,5,0.0136986301369863,0.997262443438914,ATM,17.2,0.0556,0.006730769230769231
2023-08-25,2023-08-30,PUT,440.79,441.0,2.47,2.48,2.475,5847,1379,5,0.0136986301369863,0.9995238095238096,ATM,17.2,0.0556,0.005612244897959184
2023-08-25,2023-08-30,PUT,440.79,440.0,2.03,2.04,2.035,8570,3298,5,0.0136986301369863,1.0017954545454544,ATM,17.2,0.0556,0.004625000000000001
2023-08-25,2023-08-30,PUT,440.79,439.0,1.65,1.67,1.66,11694,2626,5,0.0136986301369863,1.0040774487471524,ATM,17.2,0.0556,0.00378132118451025
2023-08-25,2023-08-28,PUT,440.79,437.0,0.39,0.4,0.395,110778,5117,3,0.0082191780821917,1.0086727688787185,ATM,17.2,0.0556,0.0009038901601830664
2023-08-25,2023-08-30,PUT,440.79,438.0,1.34,1.35,1.3450000000000002,16983,2778,5,0.0136986301369863,1.0063698630136986,ATM,17.2,0.0556,0.003070776255707763
2023-08-25,2023-08-30,PUT,440.79,448.0,7.27,7.45,7.359999999999999,556,692,5,0.0136986301369863,0.98390625,ATM,17.2,0.0556,0.016428571428571428
2023-08-25,2023-08-31,PUT,440.79,428.0,0.22,0.23,0.225,2980,1271,6,0.0164383561643835,1.0298831775700934,ATM,17.2,0.0556,0.0005257009345794393
2023-08-25,2023-08-31,PUT,440.79,427.0,0.18,0.19,0.185,1602,2755,6,0.0164383561643835,1.032295081967213,ITM,17.2,0.0556,0.0004332552693208431
2023-08-25,2023-08-31,PUT,440.79,426.0,0.16,0.17,0.165,4531,5576,6,0.0164383561643835,1.0347183098591548,ITM,17.2,0.0556,0.0003873239436619718
2023-08-25,2023-08-31,PUT,440.79,425.0,0.14,0.15,0.145,4460,17392,6,0.0164383561643835,1.0371529411764706,ITM,17.2,0.0556,0.00034117647058823526
2023-08-25,2023-08-31,PUT,440.79,424.0,0.12,0.13,0.125,641,1636,6,0.0164383561643835,1.0395990566037736,ITM,17.2,0.0556,0.00029481132075471697
2023-08-25,2023-08-30,PUT,440.79,480.0,39.07,39.31,39.19,24,7,5,0.0136986301369863,0.9183125,OTM,17.2,0.0556,0.08164583333333333
2023-08-25,2023-08-30,PUT,440.79,465.0,24.08,24.32,24.2,3,1,5,0.0136986301369863,0.9479354838709676,OTM,17.2,0.0556,0.05204301075268817
2023-08-25,2023-08-30,PUT,440.79,452.0,11.09,11.32,11.205,1,6,5,0.0136986301369863,0.9751991150442476,ATM,17.2,0.0556,0.02478982300884956
2023-08-25,2023-08-30,PUT,440.79,447.0,6.4,6.58,6.49,147,671,5,0.0136986301369863,0.9861073825503356,ATM,17.2,0.0556,0.014519015659955259
2023-08-25,2023-08-30,PUT,440.79,451.0,10.1,10.32,10.21,12,13,5,0.0136986301369863,0.977361419068736,ATM,17.2,0.0556,0.02263858093126386
2023-08-25,2023-08-28,PUT,440.79,438.0,0.56,0.57,0.565,120179,4835,3,0.0082191780821917,1.0063698630136986,ATM,17.2,0.0556,0.0012899543378995433
2023-08-25,2023-08-28,PUT,440.79,440.0,1.15,1.16,1.1549999999999998,88030,5102,3,0.0082191780821917,1.0017954545454544,ATM,17.2,0.0556,0.0026249999999999997
2023-08-25,2023-08-29,PUT,440.79,438.0,0.99,1.0,0.995,19749,2552,4,0.010958904109589,1.0063698630136986,ATM,17.2,0.0556,0.002271689497716895
2023-08-25,2023-08-29,PUT,440.79,437.0,0.76,0.77,0.765,22075,4195,4,0.010958904109589,1.0086727688787185,ATM,17.2,0.0556,0.0017505720823798626
2023-08-25,2023-08-29,PUT,440.79,436.0,0.57,0.58,0.575,18309,9264,4,0.010958904109589,1.01098623853211,ATM,17.2,0.0556,0.0013188073394495411
2023-08-25,2023-08-29,PUT,440.79,435.0,0.43,0.44,0.435,16164,2023,4,0.010958904109589,1.0133103448275862,ATM,17.2,0.0556,0.001
2023-08-25,2023-08-29,PUT,440.79,434.0,0.32,0.33,0.325,6652,2019,4,0.010958904109589,1.0156451612903226,ATM,17.2,0.0556,0.0007488479262672812
2023-08-25,2023-08-29,PUT,440.79,433.0,0.24,0.25,0.245,9511,2722,4,0.010958904109589,1.0179907621247113,ATM,17.2,0.0556,0.0005658198614318707
2023-08-25,2023-08-29,PUT,440.79,432.0,0.18,0.19,0.185,6753,1958,4,0.010958904109589,1.020347222222222,ATM,17.2,0.0556,0.00042824074074074075
2023-08-25,2023-08-28,PUT,440.79,449.0,8.1,8.31,8.205,75,19,3,0.0082191780821917,0.9817149220489976,ATM,17.2,0.0556,0.018273942093541204
2023-08-25,2023-08-28,PUT,440.79,448.0,7.1,7.32,7.21,81,101,3,0.0082191780821917,0.98390625,ATM,17.2,0.0556,0.01609375
2023-08-25,2023-08-28,PUT,440.79,439.0,0.81,0.82,0.815,94229,3329,3,0.0082191780821917,1.0040774487471524,ATM,17.2,0.0556,0.0018564920273348518
2023-08-25,2023-08-28,PUT,440.79,447.0,6.14,6.33,6.234999999999999,649,842,3,0.0082191780821917,0.9861073825503356,ATM,17.2,0.0556,0.013948545861297538
2023-08-25,2023-08-28,PUT,440.79,434.0,0.12,0.13,0.125,39571,5389,3,0.0082191780821917,1.0156451612903226,ATM,17.2,0.0556,0.0002880184331797235
2023-08-25,2023-08-29,PUT,440.79,441.0,2.08,2.1,2.09,9689,3058,4,0.010958904109589,0.9995238095238096,ATM,17.2,0.0556,0.004739229024943311
2023-08-25,2023-08-28,PUT,440.79,435.0,0.18,0.19,0.185,100456,5526,3,0.0082191780821917,1.0133103448275862,ATM,17.2,0.0556,0.00042528735632183906
2023-08-25,2023-08-28,PUT,440.79,436.0,0.26,0.27,0.265,94890,3603,3,0.0082191780821917,1.01098623853211,ATM,17.2,0.0556,0.0006077981651376147
