date,expiration,option_type,S,strike,bid,ask,market_price,volume,open_interest,days_to_expiration,T,moneyness,moneyness_category
2023-08-25,2023-08-28,CALL,440.78999999999996,402.0,38.75,38.96,38.855000000000004,1,2,3,0.00821917808219178,1.0964925373134327,ITM
2023-08-25,2023-08-28,CALL,440.78999999999996,410.0,30.75,30.97,30.86,1,33,3,0.00821917808219178,1.0750975609756097,ITM
2023-08-25,2023-08-28,CALL,440.78999999999996,412.0,28.75,28.97,28.86,2,3,3,0.00821917808219178,1.069878640776699,ITM
2023-08-25,2023-08-28,CALL,440.78999999999996,413.0,27.76,27.97,27.865000000000002,1,17,3,0.00821917808219178,1.0672881355932202,ITM
2023-08-25,2023-08-28,CALL,440.78999999999996,417.0,23.76,23.98,23.87,5,7,3,0.00821917808219178,1.05705035971223,ITM
2023-08-25,2023-08-28,CALL,440.78999999999996,419.0,21.76,21.98,21.87,2,8,3,0.00821917808219178,1.0520047732696896,ITM
2023-08-25,2023-08-28,CALL,440.78999999999996,420.0,20.76,20.98,20.87,66,58,3,0.00821917808219178,1.0494999999999999,ITM
2023-08-25,2023-08-28,CALL,440.78999999999996,423.0,17.77,17.98,17.875,24,15,3,0.00821917808219178,1.0420567375886525,ITM
2023-08-25,2023-08-28,CALL,440.78999999999996,424.0,16.77,16.98,16.875,41,11,3,0.00821917808219178,1.0395990566037736,ITM
2023-08-25,2023-08-28,CALL,440.78999999999996,425.0,15.77,15.99,15.879999999999999,76,61,3,0.00821917808219178,1.0371529411764706,ITM
2023-08-25,2023-08-28,CALL,440.78999999999996,426.0,14.77,14.99,14.879999999999999,75,36,3,0.00821917808219178,1.0347183098591548,ITM
2023-08-25,2023-08-28,CALL,440.78999999999996,427.0,13.78,13.99,13.885,72,131,3,0.00821917808219178,1.032295081967213,ITM
2023-08-25,2023-08-28,CALL,440.78999999999996,428.0,12.78,13.0,12.89,16,84,3,0.00821917808219178,1.0298831775700934,ATM
2023-08-25,2023-08-28,CALL,440.78999999999996,429.0,11.79,12.0,11.895,67,173,3,0.00821917808219178,1.0274825174825173,ATM
2023-08-25,2023-08-28,CALL,440.78999999999996,430.0,10.79,11.01,10.899999999999999,464,1228,3,0.00821917808219178,1.025093023255814,ATM
2023-08-25,2023-08-28,CALL,440.78999999999996,431.0,9.81,10.02,9.915,382,653,3,0.00821917808219178,1.0227146171693735,ATM
2023-08-25,2023-08-28,CALL,440.78999999999996,432.0,8.82,9.03,8.925,672,666,3,0.00821917808219178,1.020347222222222,ATM
2023-08-25,2023-08-28,CALL,440.78999999999996,433.0,7.85,8.05,7.95,617,270,3,0.00821917808219178,1.0179907621247113,ATM
2023-08-25,2023-08-28,CALL,440.78999999999996,434.0,6.89,7.08,6.984999999999999,1434,902,3,0.00821917808219178,1.0156451612903226,ATM
2023-08-25,2023-08-28,PUT,440.78999999999996,434.0,0.12,0.13,0.125,39571,5389,3,0.00821917808219178,1.0156451612903226,ATM
2023-08-25,2023-08-28,CALL,440.78999999999996,435.0,5.95,6.12,6.035,8767,2553,3,0.00821917808219178,1.0133103448275862,ATM
2023-08-25,2023-08-28,PUT,440.78999999999996,435.0,0.18,0.19,0.185,100456,5526,3,0.00821917808219178,1.0133103448275862,ATM
2023-08-25,2023-08-28,CALL,440.78999999999996,436.0,5.05,5.2,5.125,15804,1799,3,0.00821917808219178,1.01098623853211,ATM
2023-08-25,2023-08-28,PUT,440.78999999999996,436.0,0.26,0.27,0.265,94890,3603,3,0.00821917808219178,1.01098623853211,ATM
2023-08-25,2023-08-28,CALL,440.78999999999996,437.0,4.22,4.31,4.265,34872,1478,3,0.00821917808219178,1.0086727688787185,ATM
2023-08-25,2023-08-28,PUT,440.78999999999996,437.0,0.39,0.4,0.395,110778,5117,3,0.00821917808219178,1.0086727688787185,ATM
2023-08-25,2023-08-28,CALL,440.78999999999996,438.0,3.39,3.46,3.425,65807,3687,3,0.00821917808219178,1.0063698630136986,ATM
2023-08-25,2023-08-28,PUT,440.78999999999996,438.0,0.56,0.57,0.565,120179,4835,3,0.00821917808219178,1.0063698630136986,ATM
